Feature_Type,Feature_Name
Numeric,Id
Numeric,MSSubClass
Numeric,LotFrontage
Numeric,LotArea
Numeric,OverallQual
Numeric,OverallCond
Numeric,YearBuilt
Numeric,YearRemodAdd
Numeric,MasVnrArea
Numeric,BsmtFinSF1
Numeric,BsmtFinSF2
Numeric,BsmtUnfSF
Numeric,TotalBsmtSF
Numeric,1stFlrSF
Numeric,2ndFlrSF
Numeric,LowQualFinSF
Numeric,GrLivArea
Numeric,BsmtFullBath
Numeric,BsmtHalfBath
Numeric,FullBath
Numeric,HalfBath
Numeric,BedroomAbvGr
Numeric,KitchenAbvGr
Numeric,TotRmsAbvGrd
Numeric,Fireplaces
Numeric,GarageYrBlt
Numeric,GarageCars
Numeric,GarageArea
Numeric,WoodDeckSF
Numeric,OpenPorchSF
Numeric,EnclosedPorch
Numeric,3SsnPorch
Numeric,ScreenPorch
Numeric,PoolArea
Numeric,MiscVal
Numeric,MoSold
Numeric,YrSold
Numeric,SalePrice
Categorical,MSZoning
Categorical,Street
Categorical,Alley
Categorical,LotShape
Categorical,LandContour
Categorical,Utilities
Categorical,LotConfig
Categorical,LandSlope
Categorical,Neighborhood
Categorical,Condition1
Categorical,Condition2
Categorical,BldgType
Categorical,HouseStyle
Categorical,RoofStyle
Categorical,RoofMatl
Categorical,Exterior1st
Categorical,Exterior2nd
Categorical,MasVnrType
Categorical,ExterQual
Categorical,ExterCond
Categorical,Foundation
Categorical,BsmtQual
Categorical,BsmtCond
Categorical,BsmtExposure
Categorical,BsmtFinType1
Categorical,BsmtFinType2
Categorical,Heating
Categorical,HeatingQC
Categorical,CentralAir
Categorical,Electrical
Categorical,KitchenQual
Categorical,Functional
Categorical,FireplaceQu
Categorical,GarageType
Categorical,GarageFinish
Categorical,GarageQual
Categorical,GarageCond
Categorical,PavedDrive
Categorical,PoolQC
Categorical,Fence
Categorical,MiscFeature
Categorical,SaleType
Categorical,SaleCondition
