Model,RMSE_Mean,RMSE_Std,MAE_Mean,MAE_Std,R2_Mean,R2_Std,Training_Time
catboost,0.04872769824765859,0.021224157114660656,0.03175960610483296,0.0022206657604596355,0.9039043077211655,0.020895399375125696,43.65892696380615
gradient_boosting,0.052669771524137016,0.02428221414733036,0.0346461842388912,0.0027297950997414774,0.8870168942616061,0.029985680906151085,5.474108934402466
ridge,0.053259000004335325,0.03552085200398497,0.03371679571341233,0.001895673865248503,0.8821029337389635,0.06251931894539467,1.1137559413909912
lightgbm,0.05358056891275719,0.026062486357196806,0.035285884980089735,0.002910245329274382,0.8830375726143307,0.03396279087255723,6.136553764343262
bayesian_ridge,0.05374919086699493,0.034814873840731286,0.03401880625947095,0.0016498865950134178,0.8803532408828648,0.060124133128937045,0.21985554695129395
extra_trees,0.05475050894944071,0.022965561029724545,0.03573441256231391,0.0016809638249986381,0.8781010240478937,0.027463724918516598,5.764897584915161
random_forest,0.05605186860436253,0.028092154967146135,0.03691207823672425,0.0032749957763232927,0.8720647002992596,0.03869465210300921,7.857055187225342
xgboost,0.0567904813058949,0.02273689396221694,0.038364623123233285,0.003042264619569493,0.869343521334363,0.024432524139700998,4.932117462158203
linear_regression,0.06484092037126614,0.04468383698115628,0.03655869060361057,0.0017790760366146277,0.8192450308064056,0.1052111310495358,4.2133002281188965
elastic_net,0.08958747049746939,0.030455742464847422,0.06436450013450938,0.003646361319355431,0.6770273315652624,0.02374953317461755,0.1726515293121338
lasso,0.0903515514252624,0.03117964359312387,0.06497908967984398,0.0036363320754473722,0.6718361490060951,0.020665345369276458,0.18377375602722168
huber,0.10297017201706898,0.03352245671521195,0.07573785130483403,0.0035604182404882314,0.5731995449697769,0.025971925289187178,0.554431676864624
svr,0.15625030085631936,0.056935972385499974,0.12090825344498382,0.007796735136654491,0.022347350397509035,0.004131416494298891,0.4802360534667969
neural_network,775.9191086022556,336.0110948124169,485.43456614443784,102.2545775106567,-25010158.985630922,7283158.7000435805,13.573005676269531
